term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
REP.A001_PC3_24H_I03_PKI-179_1.11uM down	a016ceef-2beb-418d-b514-085dc457983e	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	REP.A001	PC3	24H	I03	PKI-179	1.11uM	down
FIBR039_MCLF056CN_6H_O22_COT-10b_4uM up	0075eb85-0f93-4987-97b6-04e9b92acadc	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	FIBR039	MCLF056CN	6H	O22	COT-10b	4uM	up
REP.B011_PC3_24H_N07_PF-04691502_2.22uM down	ab4dc156-c37a-4d27-be89-eed7795c305e	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	REP.B011	PC3	24H	N07	PF-04691502	2.22uM	down
CPD001_PC3_24H_O14_ivermectin_10uM down	623322f1-852d-439f-8f37-1914c4df54c8	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	CPD001	PC3	24H	O14	ivermectin	10uM	down
FIBR027_MCLF130CN_6H_P04_PP-110_4uM down	8c73f9a4-390e-456d-a5b8-186e53ce4863	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	FIBR027	MCLF130CN	6H	P04	PP-110	4uM	down
REP.B006_HT29_24H_N20_GDC-0980_0.74uM down	e196414b-13bb-4d99-9a1a-a7ef1cd51f95	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	REP.B006	HT29	24H	N20	GDC-0980	0.74uM	down
CPC006_HCC515_6H_N21_BMS-754807_10uM down	89798e33-d9ad-4d9c-bdda-49ff73ee9677	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	CPC006	HCC515	6H	N21	BMS-754807	10uM	down
FIBR009_MCLF123SZ_6H_P08_CHIR-99021_4uM up	82288125-d56f-4c83-ba85-673a20f088b2	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	FIBR009	MCLF123SZ	6H	P08	CHIR-99021	4uM	up
CPC006_MCF7_24H_A03_geldanamycin_10uM down	d01f28f4-973f-42ad-b551-5249ac3cf6b9	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	CPC006	MCF7	24H	A03	geldanamycin	10uM	down
REP.A025_THP1_24H_D13_tosedostat_10uM down	0e54915b-a086-4677-8f96-1c0fae233e00	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	REP.A025	THP1	24H	D13	tosedostat	10uM	down
REP.A006_HELA_24H_M01_chrysin_10uM up	3f7f45f0-81f3-4877-ade4-38d528ea885c	250	2.0372775623448355e-25	3.051923643294622e-21	4.230518105849582	67	REP.A006	HELA	24H	M01	chrysin	10uM	up
